featureId,featurename,project,category,sub_category,data_type,description,status,source,owner
2138,FitnessCard7dWStatNavCTR,WPO,wpo_sdcard,FitnessCard,double,,active,WPOFeatureLoadAPI.view,
2139,TrafficCardNavClicks30dWStatCount,WPO,wpo_sdcard,TrafficCard,double,,active,WPOFeatureLoadAPI.view,
2140,ShopCard30dWStatCTR,WPO,wpo_sdcard,ShopCard,double,,active,WPOFeatureLoadAPI.view,
2141,ShopCardViewCount7dWStatSum,WPO,wpo_sdcard,ShopCard,double,,active,WPOFeatureLoadAPI.view,
2142,PollsCardNonNavClicks7dWStatCount,WPO,wpo_sdcard,PollsCard,double,,active,WPOFeatureLoadAPI.view,
2143,NextDoorCardViewCount30dWStatSum,WPO,wpo_sdcard,NextDoorCard,double,,active,WPOFeatureLoadAPI.view,
2144,MoneyCardNonNavClicks30dWStatSum,WPO,wpo_sdcard,MoneyCard,double,,active,WPOFeatureLoadAPI.view,
2145,SportsCardNonNavClicks7dWStatSum,WPO,wpo_sdcard,SportsCard,double,,active,WPOFeatureLoadAPI.view,
2146,AutosCardViewCount7dWStatCount,WPO,wpo_sdcard,AutosCard,double,,active,WPOFeatureLoadAPI.view,
2147,IndustryNewsCardViewCount30dWStatCount,WPO,wpo_sdcard,IndustryNewsCard,double,,active,WPOFeatureLoadAPI.view,
2148,CompanyNewsCard30dWStatCTR,WPO,wpo_sdcard,CompanyNewsCard,double,,active,WPOFeatureLoadAPI.view,
2149,TravelCardViewCount7dWStatCount,WPO,wpo_sdcard,TravelCard,double,,active,WPOFeatureLoadAPI.view,
2150,FitnessCardNavClicks30dWStatSum,WPO,wpo_sdcard,FitnessCard,double,,active,WPOFeatureLoadAPI.view,
2151,PrayerTimesCardNavClicks7dWStatCount,WPO,wpo_sdcard,PrayerTimesCard,double,,active,WPOFeatureLoadAPI.view,
2152,FitnessCardNonNavClicks30dWStatCount,WPO,wpo_sdcard,FitnessCard,double,,active,WPOFeatureLoadAPI.view,
2153,FitnessCard30dWStatCTR,WPO,wpo_sdcard,FitnessCard,double,,active,WPOFeatureLoadAPI.view,
2154,TopStoriesCardNonNavClicks30dWStatCount,WPO,wpo_sdcard,TopStoriesCard,double,,active,WPOFeatureLoadAPI.view,
2155,TrendingNowCardNavClicks7dWStatCount,WPO,wpo_sdcard,TrendingNowCard,double,,active,WPOFeatureLoadAPI.view,
2156,TrafficCardNavClicks7dWStatSum,WPO,wpo_sdcard,TrafficCard,double,,active,WPOFeatureLoadAPI.view,
